# Phase, Flux
-2.372758138581274601e-01,8.207073996846503405e+00
-2.369201338597665130e-01,2.959315289263741988e+01
-2.366805946768569813e-01,2.426313220982301289e+01
-2.364099864899287251e-01,2.851031924810953910e+01
-2.360559183604273858e-01,-1.674904752613226577e+01
-2.357456579685515141e-01,1.025018426936696869e+01
-2.356386141097305265e-01,8.719638674170582249e+01
-2.355195797875411223e-01,-4.374417503594241197e+01
-2.352002841932341326e-01,6.637781149865240593e+01
-2.348500650762573860e-01,8.319142759072306603e+01
-2.346360944130196913e-01,6.373325696085174741e+00
-2.343388500376573091e-01,2.800404006420009750e+01
-2.339808355319403788e-01,8.274068112035237732e+01
-2.336877170729242392e-01,-7.104730010931703532e+01
-2.334568347526878584e-01,-5.906279854084317549e-02
-2.331242173621222991e-01,3.763625112407353868e+01
-2.327822412107004579e-01,1.077540175398183919e+01
-2.325960240120148459e-01,1.580984995941392413e+01
-2.325397526202265253e-01,-3.529053448636521040e+01
-2.322658918107746162e-01,-2.773778852049879617e+00
-2.319068033428249853e-01,5.030300865183079395e+00
-2.316332705342479814e-01,1.035646388203304014e+01
-2.313913783426561066e-01,-1.604460430115750569e+01
-2.310480335464998314e-01,8.184522921617087832e+00
-2.307168092341425059e-01,3.051615893312487060e-01
-2.305606333616423420e-01,-1.068906762407006994e+02
-2.304856877620266031e-01,-4.204169805743784849e+01
-2.301916952510174585e-01,8.927172262462867991e+01
-2.295825945248171074e-01,6.144611943703637280e+01
-2.293232349909196666e-01,-3.197435517576785458e+00
-2.289719907786577080e-01,3.421458186925185885e+01
-2.286541489760390844e-01,3.780880127202124186e+01
-2.285301630945982820e-01,1.097271153360779294e+01
-2.284279823162373990e-01,-2.364021319500864138e+01
-2.277631033012923467e-01,1.773343938116234142e+01
-2.275359585532510387e-01,-2.949511986172215217e+01
-2.272529885094195512e-01,-4.251338623850742238e+01
-2.268965025766288557e-01,7.259247610136299045e+01
-2.265945540082794363e-01,-4.852463760218750366e+01
-2.263668935747412680e-01,-2.190946757618661422e+01
-2.260405670632593678e-01,-2.178117197215723166e+01
-2.256941495726763058e-01,1.824457960508674148e+01
-2.254936232432700471e-01,-2.359614924640762723e+01
-2.251809047047339529e-01,-3.021644279121993293e+00
-2.248220587205009835e-01,-2.438348063860118486e+01
-2.245383108688738805e-01,-7.288186742826496811e+01
-2.243027613849462032e-01,-2.910277905876501592e+01
-2.239644795007152966e-01,7.439244377183129586e+01
-2.236275136922296625e-01,-1.721255973341495604e+01
-2.234558429251235490e-01,-2.835329847727940944e+01
-2.233913970555476691e-01,-5.866284669397980878e+01
-2.231072493834408421e-01,1.648807204368551993e+01
